"";"X";"Data.mostreig";"darrers_14";"darrers_7";"set_i_set";"mitjana_7";"N1.Concentracio.final";"Cabal.influent.últimes.24h.calculat";"Laboratori";"EDAR";"load_N1";"log_14";"log_7";"log_7_7";"log_mean_7";"log_N1";"sim_median_1_5";"sim_median_2_4";"sim_median_3_3";"sim_median_4_2";"sim_median_5_1"
"79";79;"2020-08-03";20;11;38;1,57;41513,94;19070;"UB_Girones";"DCPA";791670835800;1,30102999566398;1,04139268515823;1,57978359661681;0,195899652409234;11,8985446463488;3450143,04043158;413596,335538496;46902,4399945636;5357,33007146293;644,998526301126
"80";80;"2020-08-03";31;20;48;2,86;3144,41;15679;"UB_Girones";"DOLO";49301204390;1,49136169383427;1,30102999566398;1,68124123737559;0,456366033129043;10,6928575288825;216086,772191386;25958,4739012396;2936,90692066778;331,707090214408;40,0778132787907
"81";81;"2020-08-03";10;2;4;0,29;17235,63;6006;"UB_Girones";"DRIP";103517193780;1;0,301029995663981;0,602059991327962;-0,537602002101044;11,0150124903109;453356,724457584;54322,7832691781;6176,7078954492;702,821096284722;84,0364867388147
"82";82;"2020-08-10";165;90;233;12,86;2344,96;44862;"Virus Entèrics-UB";"DGIR";105199595520;2,21748394421391;1,95424250943932;2,36735592102602;1,1092409685882;11,02201407001;459822,137343453;55076,2315436509;6274,84562064269;708,199242816277;85,4391884719621
"83";83;"2020-08-10";437;276;568;39,43;2193,66;18958;"Virus Entèrics-UB";"DGRA";41587406280;2,64048143697042;2,44090908206522;2,75434833571102;1,59582677707322;10,6189618351663;182085,936483145;21819,3153568664;2468,41562067547;281,450572348038;33,7352242578172
"84";84;"2020-08-10";643;392;755;56;3139,7;26758;"Virus Entèrics-UB";"DMDV";84012092600;2,80821097292422;2,59328606702046;2,87794695162919;1,7481880270062;10,9243418023889;369007,846733983;44036,1686657116;5034,91544125069;565,962044407151;68,0378442294773
"85";85;"2020-08-10";28;24;61;3,43;17476,83;13545;"Virus Entèrics-UB";"DVEN";236723662350;1,44715803134222;1,38021124171161;1,78532983501077;0,535294120042771;11,3742416711712;1037707,8644284;124718,736619176;14094,231932625;1597,18516942764;192,356333480352
"86";86;"2020-08-10";125;66;107;9,43;322825,82;14484;"Virus Entèrics-UB";"DVDP";4675809176880;2,09691001300806;1,81954393554187;2,02938377768521;0,974511692737328;12,6698567789827;20513581,8140553;2446814,54544373;279151,768620078;31831,4788158085;3794,97620697819
"87";87;"2020-08-10";3388;1466;2787;209,43;30005,93;198944;"Virus Entèrics-UB";"DPDL";5969499737920;3,52994340165867;3,16613397030511;3,4451369687133;2,32103889272606;12,775937937467;26052785,1876888;3121139,26436886;356073,01879409;40501,4111015368;4823,30918426394
"88";88;"2020-08-10";46;19;30;2,71;5838,3;6716;"Virus Entèrics-UB";"DMRT";39210022800;1,66275783168157;1,27875360095283;1,47712125471966;0,432969290874406;10,5933970948356;171526,063377494;20620,4918505613;2339,26416662161;265,319903822444;31,6953376523032
