EDAR;Date;cases;N1 gc/l;HAdV gc/l;flow 24h;N1 total;HAdV total;N1/HAdV;N1 total log;cases log;HAdV log
DMAS;2020-08-03;83;2,89E+04;1,66E+05;2,09E+04;6,05E+11;3,48E+12;0,17;11,781576;1,919078092;
DMAS;2020-07-27;97;2,36E+02;1,41E+03;2,04E+04;4,82E+09;2,88E+10;0,17;9,682646374;1,986771734;
DMAS;2020-07-20;77;3,29E+02;1,82E+04;2,08E+04;6,83E+09;3,78E+11;0,02;9,834419724;1,886490725;
DMAS;2020-07-13;30;8,95E+02;5,69E+02;2,36E+04;2,11E+10;1,34E+10;1,57;10,32496246;1,477121255;
DMAS;2020-07-06;57;1,45E+03;4,94E+04;2,02E+04;2,93E+10;9,97E+11;0,03;10,46760788;1,755874856;
DMAT;2020-10-26;1134;7,66E+04;5,95E+03;2,52E+04;1,93E+12;1,50E+11;12,88;12,28538193;3,054613055;
DMAT;2020-10-19;768;1,68E+05;9,70E+03;2,61E+04;4,39E+12;2,54E+11;17,31;12,64270629;2,88536122;
DMAT;2020-10-12;440;9,68E+04;2,69E+04;2,32E+04;2,24E+12;6,24E+11;3,59;12,3508167;2,643452676;
DMAT;2020-10-05;212;2,27E+04;5,92E+04;2,54E+04;5,76E+11;1,50E+12;0,38;11,76013042;2,326335861;
DMAT;2020-09-28;201;6,91E+03;;2,33E+04;1,61E+11;;;11,20791039;2,303196057;
DMAT;2020-09-21;255;1,28E+04;3,01E+04;2,50E+04;3,19E+11;7,53E+11;0,42;11,50401968;2,40654018;
DMAT;2020-09-14;151;2,62E+04;1,19E+05;2,53E+04;6,62E+11;3,01E+12;0,22;11,8207382;2,178976947;
DMAT;2020-09-07;223;3,69E+04;5,99E+03;2,50E+04;9,22E+11;1,50E+11;6,16;11,96487021;2,348304863;
DMAT;2020-08-31;220;1,01E+05;2,55E+03;2,30E+04;2,32E+12;5,87E+10;39,50;12,36492698;2,342422681;
DMAT;2020-08-24;197;1,76E+04;5,40E+04;2,25E+04;3,96E+11;1,22E+12;0,33;11,59744397;2,294466226;
DMAT;2020-08-17;130;1,06E+05;1,04E+04;2,17E+04;2,29E+12;2,26E+11;10,14;12,36059861;2,113943352;
DMAT;2020-08-10;127;2,29E+04;1,20E+04;2,10E+04;4,80E+11;2,52E+11;1,91;11,68163513;2,103803721;
DMAT;2020-08-03;86;1,19E+05;2,04E+05;2,89E+04;3,43E+12;5,90E+12;0,58;12,53565311;1,934498451;
DMAT;2020-07-27;101;5,04E+03;8,37E+03;2,57E+04;1,30E+11;2,15E+11;0,60;11,11291636;2,004321374;
DMAT;2020-07-20;84;1,91E+03;7,74E+04;2,65E+04;5,07E+10;2,05E+12;0,02;10,70469969;1,924279286;
DMAT;2020-07-13;41;2,23E+04;8,50E+03;2,81E+04;6,27E+11;2,39E+11;2,63;11,79724349;1,612783857;
DMAT;2020-07-06;22;2,40E+03;8,74E+03;2,88E+04;6,92E+10;2,52E+11;0,27;10,83982627;1,342422681;
DSLL;2020-10-26;48;1,06E+05;2,34E+05;2,66E+03;2,83E+11;6,24E+11;0,45;11,45208832;1,681241237;11,7951826
DSLL;2020-10-19;25;1,05E+04;9,14E+04;2,37E+03;2,49E+10;2,16E+11;0,12;10,39629504;1,397940009;11,33545127
