NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-07-22;2021-07-28;Si;;;1738.0044;927.9907;645;24058.7008;13908;2814;5.7797;96;1;71;470;175;460;169;8990;1893;220;155
CATALUNYA;GLOBAL;2021-07-21;2021-07-27;--;;;0.0000;0.0000;802;0.0000;213;39;14.3478;202;23;1;73;729;25;8;196;34;1706;1518
CATALUNYA;GLOBAL;2021-07-21;2021-07-27;Si;;;1712.1070;971.1531;675;23284.6557;13375;2809;6.1230;88;1;62;486;189;477;180;8767;1963;224;163
CATALUNYA;GLOBAL;2021-07-21;2021-07-27;No;811.0;0.813563;996.8508;415.6733;32055;3142.4797;136403;105932;15.9723;1882;298;137;10778;21277;11734;21591;112102;96541;153831;219097
CATALUNYA;GLOBAL;2021-07-20;2021-07-26;No;867.204;0.830325;1044.4156;444.5519;34282;3150.2343;132907;110026;16.8900;1956;318;125;11629;22653;12599;23006;110322;100483;146041;231645
CATALUNYA;GLOBAL;2021-07-20;2021-07-26;--;;;0.0000;0.0000;839;0.0000;218;41;18.7234;191;25;0;86;753;32;12;199;36;1837;1420
CATALUNYA;GLOBAL;2021-07-20;2021-07-26;Si;;;1655.9959;971.1531;675;22319.2576;12474;3039;6.3316;94;1;57;511;164;498;152;8125;2141;236;174
CATALUNYA;GLOBAL;2021-07-19;2021-07-25;--;;;0.0000;0.0000;887;0.0000;212;35;16.6667;185;27;0;85;802;26;11;191;31;1888;1336
CATALUNYA;GLOBAL;2021-07-19;2021-07-25;Si;;;1566.7937;966.8369;672;19890.6553;10864;2961;7.0164;89;1;45;507;165;486;160;7140;2067;221;183
CATALUNYA;GLOBAL;2021-07-19;2021-07-25;No;925.454;0.848529;1090.6577;479.1362;36949;3201.5467;133657;113233;17.7651;1939;302;133;12209;24740;13120;25087;111427;103641;140325;261176
CATALUNYA;GLOBAL;2021-07-18;2021-07-24;No;964.614;0.867862;1111.4835;494.8269;38159;3220.2718;134534;113800;18.1991;1923;284;112;12497;25662;13479;25963;112425;104300;140512;262493
CATALUNYA;GLOBAL;2021-07-18;2021-07-24;--;;;0.0000;0.0000;894;0.0000;213;34;16.4444;196;28;0;82;812;25;12;195;30;1957;1339
CATALUNYA;GLOBAL;2021-07-18;2021-07-24;Si;;;1543.7738;971.1531;675;19128.1202;10473;2822;7.2660;89;1;37;504;171;481;164;6914;1963;223;182
CATALUNYA;GLOBAL;2021-07-17;2021-07-23;Si;;;1503.4889;976.9081;679;18185.7420;9925;2715;7.6652;82;1;27;497;182;479;174;6617;1902;225;184
CATALUNYA;GLOBAL;2021-07-17;2021-07-23;No;1017.01;0.89907;1131.1812;512.5794;39528;3236.9999;135561;114063;18.6813;1928;284;89;12880;26648;13816;26975;113657;104695;138609;272527
CATALUNYA;GLOBAL;2021-07-17;2021-07-23;--;;;0.0000;0.0000;967;0.0000;226;34;17.5732;206;29;0;94;873;30;12;209;30;2087;1320
CATALUNYA;GLOBAL;2021-07-16;2021-07-22;--;;;0.0000;0.0000;1047;0.0000;169;29;29.0503;200;32;0;116;931;42;10;153;26;2190;1061
CATALUNYA;GLOBAL;2021-07-16;2021-07-22;Si;;;1345.2269;889.1446;618;17325.3722;9572;2470;7.1508;81;1;19;434;184;405;175;6376;1735;190;140
CATALUNYA;GLOBAL;2021-07-16;2021-07-22;No;1086.97;0.935039;1162.4847;535.7264;41313;3184.4037;131618;113950;19.7613;1915;288;90;13150;28163;14107;28605;111281;104859;138430;275671
CATALUNYA;GLOBAL;2021-07-15;2021-07-21;No;1147.87;0.960064;1195.6167;559.8330;43172;3155.4083;127897;115435;20.6525;1895;275;84;13529;29643;14472;30069;109343;106326;160951;271085
CATALUNYA;GLOBAL;2021-07-15;2021-07-21;--;;;0.0000;0.0000;1171;0.0000;215;31;35.2423;201;29;0;165;1006;71;9;197;30;2228;816
CATALUNYA;GLOBAL;2021-07-15;2021-07-21;Si;;;1136.6088;810.0136;563;15744.1910;8651;2292;7.2584;77;1;15;354;209;344;199;5858;1623;178;132
CATALUNYA;GLOBAL;2021-07-14;2021-07-20;--;;;0.0000;0.0000;1247;0.0000;252;32;38.5496;207;30;0;191;1056;90;11;231;31;2381;769
CATALUNYA;GLOBAL;2021-07-14;2021-07-20;Si;;;994.1730;740.9538;515;14062.2976;7733;2041;7.5633;79;1;11;334;181;331;174;5251;1426;214;130
CATALUNYA;GLOBAL;2021-07-14;2021-07-20;No;1192.01;0.971627;1226.8165;581.1775;44818;3145.7994;126137;116454;21.3511;1843;261;74;13957;30861;14889;31289;108757;107522;177617;279212
CATALUNYA;GLOBAL;2021-07-13;2021-07-19;No;1221.51;0.980661;1245.5934;599.8637;46259;3186.4655;128975;116752;21.6244;1736;219;71;14238;32021;15107;32381;111590;108014;167779;302553
CATALUNYA;GLOBAL;2021-07-13;2021-07-19;--;;;0.0000;0.0000;1367;0.0000;268;30;38.9091;208;25;0;208;1159;99;8;246;29;2380;755
CATALUNYA;GLOBAL;2021-07-13;2021-07-19;Si;;;884.8284;684.8428;476;12635.0622;7173;1609;7.7039;67;1;7;303;173;294;168;4862;1135;224;146
CATALUNYA;GLOBAL;2021-07-12;2021-07-18;No;1226.21;0.992331;1235.6863;611.5214;47158;3197.5138;130463;116116;21.8126;1708;224;54;14597;32561;15509;32722;113482;107633;181479;312122
CATALUNYA;GLOBAL;2021-07-12;2021-07-18;--;;;0.0000;0.0000;1509;0.0000;301;32;42.7632;200;27;0;246;1263;121;9;273;31;2454;717
CATALUNYA;GLOBAL;2021-07-12;2021-07-18;Si;;;748.1476;599.9568;417;11745.9175;6792;1372;7.4133;58;1;6;260;157;264;153;4643;982;239;152
CATALUNYA;GLOBAL;2021-07-11;2021-07-17;--;;;0.0000;0.0000;1547;0.0000;299;30;42.6667;188;22;0;255;1292;121;7;271;29;2434;709
CATALUNYA;GLOBAL;2021-07-11;2021-07-17;Si;;;716.4952;572.6206;398;11663.9090;6797;1310;7.2119;51;0;4;256;142;261;142;4641;947;236;153
CATALUNYA;GLOBAL;2021-07-11;2021-07-17;No;1245.73;1.01559;1226.6090;616.6566;47554;3210.5202;130843;116739;21.7732;1660;222;52;14792;32762;15570;32800;113928;108226;197467;317835
CATALUNYA;GLOBAL;2021-07-10;2021-07-16;No;1302.71;1.0708;1216.5722;618.6017;47704;3250.5250;133468;117199;21.5152;1566;213;48;14977;32727;15814;32645;116531;108700;211108;342788
CATALUNYA;GLOBAL;2021-07-10;2021-07-16;--;;;0.0000;0.0000;1559;0.0000;300;31;41.8060;177;18;0;254;1305;117;8;270;29;2360;753
CATALUNYA;GLOBAL;2021-07-10;2021-07-16;Si;;;664.7003;526.5808;366;11148.8382;6421;1328;6.9173;44;0;2;243;123;245;123;4366;954;237;164
CATALUNYA;GLOBAL;2021-07-09;2021-07-15;--;;;0.0000;0.0000;1617;0.0000;303;34;39.6721;165;14;0;257;1360;112;9;274;31;2409;822
CATALUNYA;GLOBAL;2021-07-09;2021-07-15;Si;;;572.6206;456.0822;317;9620.8905;5350;1337;6.9136;41;0;1;205;112;208;113;3725;918;229;174
CATALUNYA;GLOBAL;2021-07-09;2021-07-15;No;1397.65;1.1647;1200.0127;626.7583;48333;3361.4360;142773;116447;20.9968;1441;195;32;16043;32290;17004;32115;125819;108117;220409;365863
CATALUNYA;GLOBAL;2021-07-08;2021-07-14;No;1460.42;1.23959;1178.1494;635.7836;49029;3439.1243;150435;114776;20.7319;1349;188;30;17110;31919;18150;31652;133495;106724;218302;398102
CATALUNYA;GLOBAL;2021-07-08;2021-07-14;--;;;0.0000;0.0000;1599;0.0000;296;31;38.1757;154;16;0;245;1354;104;9;269;27;2394;924
CATALUNYA;GLOBAL;2021-07-08;2021-07-14;Si;;;412.9199;326.5952;227;8700.0935;4730;1317;5.4993;39;1;0;143;84;145;83;3261;885;227;197
CATALUNYA;GLOBAL;2021-07-07;2021-07-13;Si;;;320.8402;253.2191;176;7661.3193;4047;1278;4.7120;31;1;0;104;72;100;71;2777;852;183;228
CATALUNYA;GLOBAL;2021-07-07;2021-07-13;No;1490.78;1.29574;1150.5287;645.6389;49789;3489.2048;156349;112724;20.5811;1216;169;25;18032;31757;19006;31302;139637;104801;216271;426178
CATALUNYA;GLOBAL;2021-07-07;2021-07-13;--;;;0.0000;0.0000;1671;0.0000;303;27;39.4040;125;13;0;287;1384;112;7;278;24;2429;955
CATALUNYA;GLOBAL;2021-07-06;2021-07-12;--;;;0.0000;0.0000;1701;0.0000;326;25;38.8379;113;14;0;307;1394;119;8;305;22;2544;954
CATALUNYA;GLOBAL;2021-07-06;2021-07-12;Si;;;254.6579;199.9856;139;6936.1916;3494;1327;4.1477;30;2;1;76;63;75;62;2422;881;180;216
CATALUNYA;GLOBAL;2021-07-06;2021-07-12;No;1477.6;1.34157;1101.3948;645.7297;49796;3479.2977;158554;109755;20.3777;1104;156;20;18745;31051;19441;30405;142502;102109;236442;444971
CATALUNYA;GLOBAL;2021-07-05;2021-07-11;No;1420.22;1.38199;1027.6616;624.1648;48133;3431.1753;159947;104651;19.6669;965;143;17;18986;29147;19228;28337;144368;97485;241122;457758
CATALUNYA;GLOBAL;2021-07-05;2021-07-11;--;;;0.0000;0.0000;1632;0.0000;316;21;37.6176;108;9;0;309;1323;114;6;301;18;2605;981
